id,text,sound,image,sublevel
p001,a cat,,assets/unit_icons/level2/p001.png,P2
p002,a dog,,assets/unit_icons/level2/p002.png,P2
p003,a pig,,assets/unit_icons/level2/p003.png,P2
p004,a hen,,assets/unit_icons/level2/p004.png,P2
p005,a sun,,assets/unit_icons/level2/p005.png,P2
p006,a cup,,assets/unit_icons/level2/p006.png,P2
p007,a bus,,assets/unit_icons/level2/p007.png,P2
p008,a hat,,assets/unit_icons/level2/p008.png,P2
p009,a bag,,assets/unit_icons/level2/p009.png,P2
p010,a bed,,assets/unit_icons/level2/p010.png,P2
p011,my cat,,assets/unit_icons/level2/p011.png,P2
p012,my dog,,assets/unit_icons/level2/p012.png,P2
p013,my hat,,assets/unit_icons/level2/p013.png,P2
p014,my pen,,assets/unit_icons/level2/p014.png,P2
p015,my cup,,assets/unit_icons/level2/p015.png,P2
p016,my bed,,assets/unit_icons/level2/p016.png,P2
p017,big dog,,assets/unit_icons/level2/p017.png,P2
p018,red bed,,assets/unit_icons/level2/p018.png,P2
p019,hot pot,,assets/unit_icons/level2/p019.png,P2
p020,mud bug,,assets/unit_icons/level2/p020.png,P2
p021,fun run,,assets/unit_icons/level2/p021.png,P2
p022,run fast,,assets/unit_icons/level2/p022.png,P2
p023,sit down,,assets/unit_icons/level2/p023.png,P2
p024,get up,,assets/unit_icons/level2/p024.png,P2
p025,in bed,,assets/unit_icons/level2/p025.png,P2
p026,on top,,assets/unit_icons/level2/p026.png,P2
p027,in mud,,assets/unit_icons/level2/p027.png,P2
p028,on sand,,assets/unit_icons/level2/p028.png,P2
p029,a big cat,,assets/unit_icons/level2/p029.png,P2
p030,a red hat,,assets/unit_icons/level2/p030.png,P2
p031,a hot mug,,assets/unit_icons/level2/p031.png,P2
p032,a sad man,,assets/unit_icons/level2/p032.png,P2
p033,a fat cat,,assets/unit_icons/level2/p033.png,P2
p034,a wet hen,,assets/unit_icons/level2/p034.png,P2
p035,a fun game,,assets/unit_icons/level2/p035.png,P2
p036,a bad bug,,assets/unit_icons/level2/p036.png,P2
p037,a big sun,,assets/unit_icons/level2/p037.png,P2
p038,a red bag,,assets/unit_icons/level2/p038.png,P2
p039,a top hat,,assets/unit_icons/level2/p039.png,P2
p040,a pet dog,,assets/unit_icons/level2/p040.png,P2
p041,sun and fun,,assets/unit_icons/level2/p041.png,P2
p042,a cat nap,,assets/unit_icons/level2/p042.png,P2
p043,a dog run,,assets/unit_icons/level2/p043.png,P2
